,search_string,8_digit_kvk,12_digit_kvk,vesting_nr,status_of_company,headquarters,website,main_company_name,bestaande_handelsnamen,statutaire_naam,second_page_company_name,street,housenumber,housenumber_extension,postcode,city,extra_infomation
4754,1000AZ,34160787	,341607870000	,000003391248	,Deze hoofdvestiging is uitgeschreven uit het Handelsregister,True,No Value,Isola Bella Mobile Services B.V.,Isola Bella Mobile Services B.V.,No Value,Isola Bella Mobile Services B.V.,Prins Bernhardplein,200,,1097JB,Amsterdam,"Isola Bella Mobile Services BV. Financiële holdings. Isola Bella Mobile Services  BV. Postbus 990, <b>1000AZ</b>, Amsterdam, Nederland 1000 AZ. <b>...</b>  "
4755,1000GP,63930935	,639309350000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Orteliusstraat 55 te Amsterdam,No Value,No Value,Vereniging van Eigenaars Orteliusstraat 55 te Amsterdam,Prinsengracht,255,-259,1016GV,Amsterdam,"<b>...</b> Vereniging van Eigenaars Orteliusstraat 55 te Amsterdam. Postbus 19604,  <b>1000GP</b>, Amsterdam, Nederland 1000 GP. Prinsengracht <b>...</b>  "
4756,1000AS,58572961	,585729610000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Bickersgracht 30,No Value,No Value,Vereniging van Eigenaars Bickersgracht 30,Hoogte Kadijk,179,,1018BK,Amsterdam,"<b>...</b> Vereniging van Eigenaars &quot;Bickersgracht 30&quot;. Vereniging van Eigenaars  &quot;Bickersgracht 30&quot;. Postbus 738, <b>1000AS</b>, Amsterdam, Nederland 1000 AS <b>...</b>  "
4757,1001AC,61429341	,614293410000	,000030533198	,No Value,True,No Value,Oviesa Torena B.V.,Oviesa Torena B.V.,Oviesa Torena B.V.,Oviesa Torena B.V.,Overhoeksplein,2,,1031KS,Amsterdam,"<b>...</b> Oviesa Torena BV. Postbus 3322, <b>1001AC</b>, Amsterdam, Nederland 1001 AC.  Overhoeksplein 2, 1031KS, Amsterdam, Nederland 1031 KS. <b>...</b>  "
4758,1001AC,69092311	,690923110000	,000028384725	,No Value,True,www.tcbyml.com.,This Could Be Your Music Label,This Could Be Your Music Label,No Value,This Could Be Your Music Label,Zaanstraat,130,,1013RW,Amsterdam,"<b>...</b> www.tcbyml.com. Postbus 3322, <b>1001AC</b>, AMSTERDAM, Nederland 1001  AC. Zaanstraat 130, 1013RW, Amsterdam, Nederland 1013 RW. <b>...</b>  "
4759,1000AZ,52030148	,520301480000	,No Value	,Deze rechtspersoon is uitgeschreven uit het Handelsregister,True,No Value,Stichting Security Trustee STORM 2011-II,No Value,No Value,Stichting Security Trustee STORM 2011-II,Prins Bernhardplein,200,,1097JB,Amsterdam,"Holdings (geen financiële). Stichting Security Trustee STORM 2011-II.  Postbus 990, <b>1000AZ</b>, Amsterdam, Nederland 1000 AZ. <b>...</b>  "
4760,1000GP,34365378	,343653780000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars van het perceel Bronckhorststraat 48 en 50 te Amsterdam,No Value,No Value,Vereniging van Eigenaars van het perceel Bronckhorststraat 48 en 50 te Amsterdam,Bronckhorststraat,48,Hs,1071WV,Amsterdam,"<b>...</b> Vereniging van Eigenaars van het perceel Bronckhorststraat 48 en 50 te  Amsterdam. Postbus 19604, <b>1000GP</b>, Amsterdam, Nederland 1000 GP. <b>...</b>  "
4761,1000AS,58442898	,584428980000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Van Spilbergenstraat 12,No Value,No Value,Vereniging van Eigenaars Van Spilbergenstraat 12,Hoogte Kadijk,179,,1018BK,Amsterdam,"<b>...</b> VVE Van Spilbergenstraat 12. Vereniging van Eigenaars &quot;Van Spilbergenstraat  12&quot;. Postbus 738, <b>1000AS</b>, Amsterdam, Nederland 1000 AS. <b>...</b>  "
4762,1000GP,34366083	,343660830000	,No Value	,No Value,True,No Value,"Vereniging van Eigenaars van het perceel President Kennedylaan 118, 120, 122 en 124 te Amsterdam",No Value,No Value,"Vereniging van Eigenaars van het perceel President Kennedylaan 118, 120, 122 en 124 te Amsterdam",President Kennedylaan,118,H,1079NJ,Amsterdam,"<b>...</b> Postbus 19604, <b>1000GP</b>, Amsterdam, Nederland 1000 GP. President  Kennedylaan 118 H, 1079NJ, Amsterdam, Nederland 1079 NJ. <b>...</b>  "
4763,1000AS,34360445	,343604450000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Olifantswerf 14 tot en met 81 en Kattenburgerkruisstraat 5 te Amsterdam,No Value,No Value,Vereniging van Eigenaars Olifantswerf 14 tot en met 81 en Kattenburgerkruisstraat 5 te Amsterdam,Bijlmerdreef,1169,,1103TT,Amsterdam,"<b>...</b> Postbus 738, <b>1000AS</b>, Amsterdam, Nederland 1000 AS. Bijlmerdreef 1169,  1103TT, Amsterdam, Nederland 1103 TT. Belangenbehartiging. <b>...</b>  "
